model,overall_accuracy,balanced_accuracy,box_accuracy,can_accuracy,mug_accuracy,bottle_accuracy,bowl_accuracy,split
SAGE,0.784,,0.947,0.949,0.326,0.315,0.182,video_level
knn,0.9260595130748422,0.8328633403175718,0.9642105263157896,0.9887323943661972,0.7415730337078652,0.8561643835616438,0.6136363636363636,random
svm_linear,0.8458070333633905,0.6090870362152871,0.9789473684210528,0.9971830985915492,0.3258426966292135,0.5616438356164384,0.1818181818181818,random
svm_rbf,0.8638412984670875,0.6438242349470692,0.9936842105263158,0.991549295774648,0.2808988764044944,0.6575342465753424,0.2954545454545454,random
knn_grouped,0.8999098286744815,0.7939996616082965,0.9326315789473684,0.9887323943661972,0.651685393258427,0.8287671232876712,0.5681818181818182,grouped
svm_linear_grouped,0.8412984670874661,0.6062204325296119,0.9768421052631578,0.991549295774648,0.3033707865168539,0.5547945205479452,0.2045454545454545,grouped
svm_rbf_grouped,0.8530207394048692,0.647617002847131,0.9642105263157896,0.9887323943661972,0.3595505617977528,0.6301369863013698,0.2954545454545454,grouped
knn_groupkfold,0.902614968440036,0.81074469446483,0.9284210526315788,0.9887323943661972,0.7078651685393258,0.815068493150685,0.6136363636363636,groupkfold
svm_linear_groupkfold,0.842200180342651,0.6156246522173145,0.9789473684210528,0.991549295774648,0.3370786516853932,0.5205479452054794,0.25,groupkfold
svm_rbf_groupkfold,0.8557258791704238,0.6483589704291353,0.9642105263157896,0.9943661971830986,0.3370786516853932,0.6506849315068494,0.2954545454545454,groupkfold
pointnet,0.9774571686203788,0.954807625882746,0.9936842105263158,0.991549295774648,0.9550561797752808,0.9246575342465754,0.9090909090909092,random
pointnet_grouped,0.9386834986474302,0.9283293961518088,0.9305263157894736,0.9746478873239436,0.9438202247191012,0.8835616438356164,0.9090909090909092,grouped
pointnet_groupkfold,0.9323715058611362,0.918482677055104,0.9221052631578948,0.9746478873239436,0.9325842696629212,0.8767123287671232,0.8863636363636364,groupkfold
